,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
COV362,1.4983993,-0.6855121,-1.3873674,-0.11628845,0.35203433,0.9492183,0.68177277,-0.87855643,0.5072575,0.08370112,0.12507431,-1.2748752,1.1356509,0.41453993,-0.72023445,0.90208864
KOPN-8,-0.2677568,-0.38428813,0.11364994,0.5404708,0.42702156,-0.7971323,0.2696725,-0.40254948,-0.14872035,0.6611218,-0.8622067,1.1820095,-0.43832144,-1.0923797,-0.8175587,0.5070759
KMS-18,-0.8510372,0.20645782,0.4516838,-0.10206614,0.00846424,-0.051820286,-0.89623946,0.20795862,0.106610104,-0.26082298,-0.08517419,0.43754628,-0.56968987,-0.33244175,0.36421844,-0.2965085
NCC-StC-K140,-1.0306594,0.22813748,0.47527316,-0.24693507,0.13375339,0.030132264,-0.89438236,0.17704898,0.124847166,-0.2667528,0.04528883,0.41360864,-0.46188328,-0.32525116,0.48318613,-0.44808382
UOK101,-0.80950874,0.20152548,0.4516345,-0.19938223,0.15826716,-0.02608367,-0.7473326,0.13859497,0.086869866,-0.28063345,-0.019383147,0.48740718,-0.5104305,-0.33741376,0.13437936,-0.2452214
WM88,-0.45406082,-0.55808526,0.6906475,0.0020924062,-0.5728303,-1.369547,-0.016594902,3.6343176,-0.64908326,-0.9006361,0.10293509,-1.1964551,-0.07409818,2.5848281,1.2497149,0.6276446
Hs 578T,-1.5304469,-0.7751471,0.7854876,0.18424298,0.48494217,-1.3634714,-1.192879,2.220452,-0.2044735,-0.5094438,-0.5550727,0.07722603,-0.92424,0.3126177,1.1690347,0.6615272
HuH-28,0.17114085,1.2146887,0.7191048,0.5166503,0.53793687,0.46166053,-0.60507655,-1.2347739,-1.3072952,0.2612073,1.4311738,-0.50704414,-0.6315161,-1.68724,-0.9774702,-2.9603033
BEN,0.31764156,1.1857221,0.7559249,0.64189225,0.5182003,0.46447915,-0.5091393,-1.3237623,-1.2084173,0.28248572,1.5137428,-0.37957087,-0.6800123,-1.9895473,-0.722366,-2.96815
Hs 888.T,0.041403383,-0.55602646,-0.10933441,-0.3754884,0.18280585,-0.030966239,-0.38776052,0.034332007,0.48314717,-0.34494504,-0.057336584,0.0952654,-0.1353343,-0.07576309,-0.18202761,0.23454699
1321N1,-0.9779601,0.20151922,0.53810763,-0.13477762,0.107096374,0.004865758,-0.7975545,0.11791726,0.14563848,-0.30436808,-0.07989215,0.37250537,-0.4982184,-0.30099335,0.4657377,-0.22756907
BHT-101,-1.4653414,1.1001253,-0.6408996,0.0066705877,-0.23017347,1.7024015,-0.071160026,-0.43038058,0.63726354,-0.1806922,-0.16714218,-0.877234,0.6379621,0.69938695,1.2445871,0.63808846
HSC-4,-0.910246,2.6647522,0.9447115,1.3532476,0.32027164,1.1058714,-0.18546152,0.58676124,-2.6113555,-0.20055112,2.3107917,-3.229186,-0.35351735,0.079483,-0.7690267,-4.003922
Hs 172.T,0.123623475,-0.5617714,-0.10992893,-0.310268,0.21017349,0.027533535,-0.30996805,0.033126794,0.4924763,-0.34839025,-0.024991961,0.09342993,0.09487451,-0.081990466,-0.078489825,0.25252196
HuG1-N,3.0046508,-0.6509971,-0.5606729,-1.8203721,-2.9094753,-0.23987927,1.5577003,0.11037376,1.6271291,-0.33229554,0.06513892,0.9980829,2.1714013,2.8376544,-0.5211444,0.9628879
HPAC,1.0198083,-1.2163924,-0.44767267,0.17033386,0.613128,-0.753241,0.32245973,-0.753366,0.23008929,0.5208729,-0.7336381,0.7963087,0.04908186,-0.844859,-0.8112499,1.0236268
IGROV-1,1.2197616,4.479139,2.3579152,0.7869606,-2.5753107,0.49125516,2.2253287,-1.8181999,-2.2163832,1.6245993,1.7108619,1.4241596,-0.018061787,-0.33386838,-1.0180387,-4.800074
LN-428,-0.9889476,0.24423671,0.44115353,-0.10914266,0.20071825,0.03843341,-0.69358814,0.24712658,0.091363594,-0.23664168,-0.10783484,0.43191138,-0.5229009,-0.29100975,0.45395327,-0.2979676
MKN74,0.85094804,-1.5586838,-0.9761096,0.011521146,0.4365458,-0.18260306,0.30138698,1.3106701,0.21325311,-0.3012792,-0.2730469,-1.4969839,0.63598984,1.2206482,0.1354813,1.6319623
NCI-H2081,-1.4058552,0.39108267,-0.111898355,0.7228682,0.31645414,0.13092706,0.23602688,-0.07851329,-0.19165424,0.3962083,-0.8406296,0.22540534,-0.08535513,-0.35776874,-0.027879536,0.75257957
PL-21,-0.18714668,-0.34430313,0.10329626,0.52058053,0.6223256,-0.75144094,0.06808481,-0.4984139,-0.14619163,0.5092455,-0.860907,1.188222,-0.4217248,-1.0893824,-0.2696256,0.67532754
HT-55,-0.48858988,-0.2985559,-1.7973691,0.51527375,0.534689,1.4611441,0.8669064,0.4032629,0.28478792,-0.059196405,-0.52823675,-2.760704,1.5362042,1.9129771,0.7826896,2.3124752
OUMS-23,0.1774135,1.9073344,-1.0947338,-0.089524224,-1.5229867,2.1929169,2.0403984,-1.2249815,0.57449967,0.45455223,-0.253393,-0.5754458,1.9390969,1.7828479,-0.18219571,0.6519804
NCI-H1781,-1.3283277,1.3662206,0.77093905,0.82209206,-0.71998525,-0.5628666,1.0929614,0.14364776,-0.57553464,0.99189186,-1.1096498,1.8871298,-0.27783495,0.038659617,0.25997525,0.06623593
CL-11,5.758025,-3.2280765,-1.0912255,-1.0289359,-1.462952,-1.8803035,2.1949818,1.1962531,0.59705776,0.15982872,0.18509752,-0.009795181,1.7223839,2.2365835,-2.1193445,1.7923961
Lu-65,1.0435715,-0.334507,0.46913218,0.22293012,-0.5535566,-1.2547262,1.0185457,-0.24078712,-0.17704494,0.79916203,-0.9104772,2.1496892,0.044617712,-0.5342511,-1.0434177,0.46356472
HPAF-II,-0.13416146,-0.43558466,0.10948596,0.45999932,0.44624782,-0.8037854,0.22213385,-0.52769953,-0.21647877,0.51426494,-0.859426,1.1844215,-0.46140245,-1.0394781,-0.45083708,0.7095994
OVISE,3.8937101,-0.5220467,-1.8156505,0.48916084,0.86442316,1.3437914,1.0940717,-2.5421073,-0.44807333,0.71939284,1.6091952,-2.4866407,1.434484,-0.8903387,-1.6461395,-0.8692545
