,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
SW48,-0.6252504,3.2194707,-2.2159333,0.65472245,-1.3934263,4.7191887,0.88342077,-1.3080992,-2.4790356,-6.048962,3.724605,-4.399489,0.47209567,2.123747,0.19394538,-2.4840071
MM1.S,-5.8495455,-10.014767,-0.076582454,1.7499394,-1.1509022,-7.4047637,-8.056225,7.3507495,-7.4001365,-1.100783,2.2286973,-3.8158994,-8.845755,12.246527,-8.6362295,11.895642
SNU-1033,-1.4405367,4.228555,-0.025052033,1.6771979,-2.292077,0.53658855,0.010699887,2.991918,1.3480355,-3.7843552,1.0240637,-0.9803151,-0.052576922,2.7388206,0.43292934,2.7580352
OELE,-1.1812316,-0.49072754,1.9641893,1.3681068,2.2982357,0.22434619,2.6361892,0.6267755,0.063217096,1.38846,-0.9424703,3.4660144,-2.8734999,-3.9001698,0.3252719,0.92146784
ML-1 [Human thyroid carcinoma],-1.1547936,-1.1209787,2.496492,1.7095151,3.1553228,0.8724251,3.814788,0.15413247,-0.48413786,2.0404975,-0.59095424,4.9348545,-2.8213706,-5.555111,0.18968028,-0.1656714
SNU-182,-0.72652584,-0.5232348,2.2793317,1.1113794,2.998855,1.5376525,3.4681747,-0.019792754,-0.83108395,1.3380185,-0.4013083,3.948558,-2.5895925,-5.20271,0.39677677,-0.9143409
MKN7,-2.8180478,0.99154454,1.5861562,0.95366704,1.9326453,-1.3307153,0.48111293,1.9986008,1.4271413,-0.12084901,0.37626123,0.33078736,-3.4547272,-0.9085585,-1.2068605,2.33832
HDLM-2,-4.0260344,-8.374638,0.747276,2.1876793,-1.2894697,-7.4940825,-5.3260736,7.2766776,-4.2081513,0.42044854,-0.3129715,-0.15350814,-6.635354,8.9136,-6.2937756,12.292346
DU4475,-0.22401166,1.3483456,1.5651611,5.033591,-4.862796,-0.69574165,1.6017668,5.66018,0.72731787,-4.991414,1.6841837,3.12065,1.1209481,5.2624154,-0.35513535,7.1901045
CAL-148,0.013823034,4.0170336,-0.6722629,2.9286206,-3.4238744,1.1351718,-0.43504933,2.258353,0.20098828,-5.4005823,2.9974947,-0.98429847,2.014017,5.982114,0.26517877,2.7196982
NCI-H1373,-2.3001766,-0.20642008,1.0254804,0.16301636,2.462158,-1.4593645,0.50663227,1.2200098,-0.608604,0.7590002,0.27351996,0.05665669,-3.5729823,-0.96676904,-0.88015234,2.3014631
OV56,-1.5283934,-0.562873,1.6723403,1.6545506,1.7658678,-0.11990175,2.6278577,0.21101929,0.75801915,1.2263945,-0.9587989,3.2313712,-2.6504297,-3.3309007,0.057231594,1.5088667
HCC827 GR5,-1.9908438,2.4327607,-0.84002817,0.43142936,0.38962317,-0.27721494,-1.2879792,0.95164204,-0.08632547,-3.2693384,2.2999768,-3.4840457,-2.180403,2.944712,-1.241042,1.6086386
HGC-27,1.2562687,-0.26309648,2.3947275,2.032494,-0.48281977,-0.16955191,0.9666973,2.2997901,0.29305404,0.5980735,0.66617,3.8162198,1.3376355,-0.36999983,0.2798686,1.9508281
HPAF-II,-2.108867,3.4637449,0.5322094,1.6495641,-1.6960286,-2.3193016,-1.5632609,4.294261,1.9919477,-2.173882,0.2801321,-1.0117484,-1.5800116,3.8512626,-0.60749924,5.1774178
HEC-59,-0.31745943,4.6231065,2.701817,5.631678,-3.5157976,2.4137623,3.549116,1.8418481,4.093661,-5.7587013,-0.50685287,2.8140311,1.9292295,1.4355278,1.4831704,3.754528
CML-T1,-3.8607254,-13.482855,4.711355,5.8915057,-5.7913675,-17.013414,-10.948328,18.340258,-1.7102637,0.6543634,-2.7256308,3.429877,-9.201698,19.14811,-10.483078,27.888102
AML-193,-3.2739744,-12.739441,1.6070668,1.7808162,-3.424213,-12.475319,-12.793963,11.906533,-1.6295266,0.14800839,-2.9750185,-3.0287967,-7.9557977,15.113627,-7.711812,22.275995
BICR 56,-1.9441254,-0.06969303,0.3819782,-2.230595,3.1855097,-0.1509617,1.0820678,-2.1493914,-2.1482382,-1.9200404,2.7207327,-3.3668492,-3.069401,0.036476582,-0.114496924,0.13143225
COV434,1.3691356,1.1091522,1.9898068,2.6743326,-1.3627347,1.4875132,2.410094,1.4211801,0.6856063,-2.2742808,1.0753636,3.1464899,1.8462534,0.664488,1.0983254,2.0281653
MUTZ-5,-4.6316466,-14.757346,3.009373,4.9666,-4.9401445,-14.877902,-11.776738,16.905989,-3.2725003,-0.67724603,-0.41586137,0.80954397,-9.8092785,19.153688,-11.362353,25.710354
HuT 102,-5.760161,-12.406431,2.1745625,3.2694898,-2.188932,-13.780641,-8.811014,12.077979,-3.9672275,3.131206,-2.890862,1.2369267,-10.592841,13.072323,-9.430289,20.32853
COLO 849,-1.4485527,-2.5967813,1.4703368,1.1332288,1.319527,0.6511518,1.7796333,0.17394215,-1.9837234,2.263999,0.897916,2.870735,-1.2812021,-4.1059813,-0.96406424,-0.88683206
FaDu,-0.95621204,0.9252148,-0.50341904,-0.84894246,0.74544024,0.8010576,-0.34759116,-0.9422111,-1.1140968,-2.4432573,2.4904737,-3.338168,-1.0589057,1.5055897,-0.20652415,-0.29903263
