,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
D283 Med,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
ME-1 [Human leukemia],0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
SEM,-0.30205235,-0.65284705,-0.042593703,1.3159623,-0.21581447,0.8284889,0.95065737,-0.25002193,0.6897559,0.92623127,-1.5857252,0.3741869,-0.3797069,1.0761312,0.30553544,0.07125871
NCI-H1793,0.21861158,-0.49742663,-0.39985406,0.32425913,-0.28030214,-0.04576835,0.77109754,-0.07074061,-0.21882191,0.3236272,-0.48769027,0.5106857,-0.2511672,0.20190829,0.15362646,0.01618935
GSU,0.13474059,-0.10241245,-0.29804826,0.68642175,-0.4617128,0.84499675,-0.10652405,0.4290442,0.19100213,1.0192826,-0.3189019,0.23901859,0.42471817,-0.4724409,0.10681149,-0.26269656
CL-40,0.5644398,-0.658038,-0.1623677,0.50417364,-1.1684744,0.008369476,0.74008876,0.555767,-0.5681937,0.8034927,-0.17246115,0.10763112,0.51548004,-0.45032156,-0.26061964,-0.30920598
TGBC11TKB,0.9845067,0.04697892,0.24195372,0.60618484,-0.96928155,0.16626705,0.043245137,0.49789447,0.19423729,0.4743998,-0.021709695,-0.017689139,1.27106,-1.0943288,-0.61952555,-0.17087916
JHUEM-1,0.45835555,0.090262175,-1.1872934,-0.11560416,-0.23565619,1.2026762,-1.2155972,1.1470762,-0.045888625,1.92116,-0.4326803,0.62531996,0.47311267,-1.3627836,0.28777742,-0.7176238
U-138MG,0.10595156,-0.26799557,-0.25534368,1.083359,-0.0051751286,0.050836742,0.89595234,-0.3286741,0.13972242,0.441364,-1.2358549,0.5764078,-0.0722057,0.75554246,0.29809192,0.17033556
RMG-I,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
NCI-H196,0.115468755,0.041131526,-0.5989836,0.61004746,-0.46591854,0.803227,-0.35118172,0.67079103,-0.26561803,1.2156787,-0.005021006,0.2929752,0.56781125,-0.76976234,0.27011392,-0.41235802
SNU-1076,0.38503128,-0.4193508,-0.25243747,0.2411705,-0.48167306,0.056867927,0.46421987,-0.09433496,-0.16216615,0.4971149,-0.6225016,0.47416145,0.09888849,-0.1480454,0.020835131,-0.116602585
TEN,0.14940819,-0.5918424,-0.35031044,0.19101857,-0.5754852,0.8803759,0.016851872,0.1937344,0.23821765,1.2356744,-0.94657713,0.42971495,-0.041429594,-0.26375866,0.098134205,-0.3732782
NCI-H69,-0.033824906,-0.29381216,-0.37454194,0.2064226,-0.21622775,0.5075848,0.12291342,-0.17921838,-0.010333702,0.6033405,-0.4566238,0.5124541,-0.1471431,-0.12813704,0.30962524,-0.14577824
OAW42,0.38503128,-0.4193508,-0.25243747,0.2411705,-0.48167306,0.056867927,0.46421987,-0.09433496,-0.16216615,0.4971149,-0.6225016,0.47416145,0.09888849,-0.1480454,0.020835131,-0.116602585
NCI-H2126,0.02241648,-0.19570543,-0.5839818,0.28781745,0.010480404,0.46833116,0.07804665,-0.105127156,0.008507058,0.71634674,-0.7033232,0.65676636,-0.18516558,-0.01197733,0.4116799,-0.122161485
OCUM-1,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
SK-MES-1,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
SNU-1196,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
SUP-HD1,-0.03740641,-0.28365198,-0.5622076,0.26319426,-0.043744802,0.64917016,0.032984614,-0.06670576,0.12284231,0.8494717,-0.7761478,0.62690413,-0.2505538,-0.006976256,0.40256214,-0.1685082
GR-M,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
A-549,0.64486104,-0.4733271,-0.2543086,0.18406416,-1.1068298,0.29265973,0.09233478,0.5246684,-0.4473941,1.0999471,-0.35460716,0.2351885,0.69449663,-0.895233,-0.22179681,-0.4920616
BT-20,-0.22831872,-0.28369635,-0.7485811,0.73322034,-0.12740266,1.0229931,-0.004271984,0.42682076,0.0674433,1.3865733,-0.7598872,0.50259256,-0.14586267,0.057447817,0.53708595,-0.30062926
NCI-H1339,0.86178166,0.52244043,0.1118999,0.88059723,-0.11512819,1.0831194,-0.6219648,0.7349982,1.5972483,0.66575766,-0.41088933,0.06554228,1.0443754,-0.9485472,-0.5462532,0.040088855
NCI-H889,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
NCI-H1963,-0.27672368,-0.4618886,-0.17002247,0.56033504,-0.2732303,0.74855405,0.3951388,-0.26534894,0.26711482,0.6685111,-0.6749815,0.38817573,-0.2965373,0.27487558,0.32545978,-0.0779568
IA-LM,0.45674556,0.14754647,0.25407696,0.91980785,-0.22534683,0.8447397,-0.01531744,0.20547807,1.2341049,0.4062004,-0.48651946,0.087741554,0.5965595,-0.3506075,-0.33732283,0.121350676
TM-31,-0.34374243,0.279358,-0.6599792,1.2136276,0.13508657,0.28135297,0.46792072,0.4493348,-0.46025383,0.22546972,0.7989204,0.24248114,0.097920254,0.06578381,0.5904035,0.12926358
Hs 936.T,0.09513497,-0.09166923,-0.12055063,0.41085422,-0.21187392,0.28609437,0.24992594,-0.2666497,0.0923855,0.19481187,-0.19039787,0.3824556,0.11049153,-0.16858873,0.14476062,0.022757487
