,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
OCI-Ly19,-1.1324537,-11.744137,-8.984801,-10.633204,-4.842124,-23.442635,26.28491,-14.26098,-21.40912,25.024397,-9.634472,4.369141,26.620766,-29.8516,15.719913,-5.276661
Hs 229.T,1.8572425,-5.592985,-2.2106078,-2.5321307,-2.1236172,-11.097418,12.231206,-7.14826,-10.635669,11.707749,-4.2702775,2.6963508,12.352602,-14.180343,7.529456,-4.334909
HCC15,-1.195056,-14.2188015,-11.091726,-12.211211,-5.3397837,-27.720293,31.820744,-17.18425,-25.863089,30.00671,-12.185785,5.587531,31.75957,-35.86014,18.832523,-6.134912
Hs 618.T,-1.2111853,-14.320612,-11.273642,-12.376545,-5.3464723,-27.823114,31.982243,-17.384573,-26.064594,30.184835,-12.182782,5.6446986,31.893375,-36.13161,18.88228,-6.213514
HuT 78,-1.1854104,-12.051276,-9.217814,-10.271427,-3.721949,-22.844887,26.489079,-15.51223,-22.485502,24.923326,-9.352806,5.134978,26.045492,-30.37524,15.447658,-6.2497573
NCI-H1693,18.345884,1.959914,-4.0837717,6.853433,3.1385324,6.330281,-27.042675,15.245727,21.52754,-27.8954,18.736685,-4.811224,-20.45671,25.334732,-17.517889,4.3495436
SK-LU-1,41.77704,6.0126457,-6.9805875,15.840344,7.385681,13.926446,-64.70272,36.436302,50.913765,-64.60584,44.016136,-10.189033,-46.88838,58.86653,-40.048084,9.836044
GOS-3,5.516087,-2.6068146,-4.563244,-0.104846664,0.72710216,-2.3218503,-2.8471336,0.83220077,1.0570474,-4.5104594,1.1050308,0.66331244,-2.4229388,0.87666047,-1.4444718,1.0861487
CML-T1,-1.096345,-11.709871,-8.170735,-10.561133,-5.907664,-25.79354,26.463627,-12.33854,-20.000168,24.363245,-10.4309025,3.2380593,28.023104,-27.28778,15.910775,-4.017102
EC-GI-10,37.22413,2.342687,-9.788195,11.044244,4.6881156,9.575393,-53.92923,32.75323,44.507233,-57.42102,36.598408,-12.4226265,-40.73095,52.823456,-36.12499,12.290634
CAL-12T,4.7350025,0.22677514,2.059519,2.5710907,2.4614735,1.6072612,-3.225923,-1.4398077,-0.16689149,-1.3739583,2.2055442,2.605281,-2.1293297,-1.2975943,0.17876989,-3.6842577
HEC-151,-1.3111736,-12.885889,-10.1834755,-11.291853,-5.127562,-25.453293,28.945168,-15.3799305,-23.253168,27.284094,-11.12237,4.880658,29.097145,-32.241333,16.954252,-5.255374
SNU-216,8.932264,-1.9348722,1.410151,2.600045,5.767687,-2.9385605,-0.31858492,-9.337555,-8.707942,1.7230427,2.377234,8.751663,1.3249062,-11.050872,5.199413,-11.204431
BICR 6,1.1984984,-10.311083,-6.9978175,-7.875001,-1.7867815,-18.41296,22.26699,-14.694241,-20.54602,21.475983,-8.344852,6.0742064,21.550997,-28.525574,14.865333,-6.936309
Caki-1,-0.7684466,-14.237957,-10.909225,-11.383076,-4.7138867,-26.45132,30.898258,-17.044535,-25.252655,29.054234,-11.893072,5.793892,30.428677,-35.45392,18.45961,-5.95239
Daudi,-1.1560194,-12.748125,-9.99075,-11.114431,-4.978233,-24.983429,28.50507,-15.273792,-23.03162,26.899807,-10.874448,4.862405,28.575016,-31.947495,16.807327,-5.347267
MC116,-0.5791759,-9.468611,-7.4288964,-7.812427,-3.9187317,-17.818523,20.176327,-10.331268,-15.761906,18.954432,-7.767433,3.047626,20.187168,-22.164524,11.770244,-3.076543
JHOC-5,-1.1692857,-14.173471,-11.089332,-12.181462,-5.2385874,-27.496433,31.645714,-17.21902,-25.821106,29.863674,-12.067677,5.6248307,31.535099,-35.79762,18.732338,-6.201053
NCI-H2087,5.4396486,-3.9663684,-3.9777758,-1.9695499,2.4861093,-6.2417307,4.954837,-6.455998,-8.076384,3.9115193,-2.1368465,5.937352,4.7098646,-10.731468,6.005436,-4.1827326
NCI-H1838,2.2766066,-11.272585,-8.074188,-8.415874,-1.4499365,-18.69386,23.113756,-15.988152,-21.890472,21.835508,-8.464856,6.8297462,21.88837,-29.75056,15.216728,-7.307055
VCaP,30.059252,4.392953,-3.865846,12.69695,3.5782013,7.4000173,-46.262947,27.251297,37.872227,-45.78958,32.593853,-8.184383,-32.35587,43.23457,-29.01457,7.463638
SNU-738,-1.2002741,-14.317712,-11.228041,-12.325345,-5.3328013,-27.82092,31.984474,-17.359268,-26.055855,30.17346,-12.203845,5.655085,31.8915,-36.118107,18.904257,-6.211155
8-MG-BA,17.838873,1.6452591,-2.8671477,5.8741484,0.5265361,1.3940752,-27.530022,17.623194,24.174204,-28.162834,19.36208,-6.730695,-18.107462,27.387676,-17.24773,6.139817
AU565,41.381866,3.7033174,-9.738277,14.956738,9.229734,14.80428,-59.416237,32.758984,45.499477,-61.90111,39.31749,-9.063421,-46.25238,54.30431,-37.56062,9.569763
D283 Med,-1.2005482,-13.691925,-10.776459,-11.738256,-5.176102,-26.592678,30.545734,-16.45972,-24.75331,28.798557,-11.696005,5.331481,30.482788,-34.348377,17.970568,-5.7620273
NUGC-4,-0.20147145,0.13944587,-0.78095174,-3.7323513,-0.68766963,-3.5103562,-3.605245,0.51335084,1.6848646,-2.7138207,3.9981532,-0.5362508,0.97408134,2.8895175,-1.7163477,-1.2256023
NCI-H2085,-1.214593,-13.585084,-10.634738,-11.648258,-5.0645504,-26.443434,30.408766,-16.451725,-24.720913,28.688623,-11.659292,5.3725324,30.335337,-34.29057,17.951246,-5.8421874
SH-SY5Y,0.60056275,-5.7222595,-4.1608496,-4.569839,-2.4616356,-10.300459,10.766173,-5.7224107,-8.56598,10.0006895,-3.835588,1.7645402,11.04448,-11.9701805,6.9412827,-1.519932
